name,teika,price,number,class,linkname
やまと豚ロース120g,1380,1490,001,yamato,やまと豚
(単)やまと豚ロース120g,980,1058,002,yamato,やまと豚
やまと豚ロース150g,1650,1782,003,yamato,やまと豚
(単)やまと豚ロース150g,1250,1350,004,yamato,やまと豚
やまと豚ロース200g,1980,2138,005,yamato,やまと豚
(単)やまと豚ロース200g,1580,1706,006,yamato,やまと豚
やまと豚厚切ロース,2380,2570,007,yamato,やまと豚
(単)やまと豚厚切ロース,1980,2138,008,yamato,やまと豚
やまと豚ヒレ120g,1530,1652,009,yamato,やまと豚
(単)やまと豚ヒレ120g,1130,1220,010,yamato,やまと豚
やまと豚ヒレ150g,1980,2138,011,yamato,やまと豚
(単)やまと豚ヒレ150g,1580,1706,012,yamato,やまと豚
やまと豚厚切ヒレ,2480,2678,013,yamato,やまと豚
(単)やまと豚厚切ヒレ,2080,2246,014,yamato,やまと豚
赤城豚ロース120g,1300,1404,015,akagi,赤城・国産
(単)赤城豚ロース120g,900,972,016,akagi,赤城・国産
赤城豚ロース150g,1560,1684,017,akagi,赤城・国産
(単)赤城豚ロース150g,1160,1252,018,akagi,赤城・国産
赤城豚ロース200g,1890,2041,019,akagi,赤城・国産
(単)赤城豚ロース200g,1490,1609,020,akagi,赤城・国産
赤城豚厚切ロース,2180,2354,021,akagi,赤城・国産
(単)赤城豚厚切ロース,1780,1922,022,akagi,赤城・国産
国産豚ヒレ120g,1430,1544,023,akagi,赤城・国産
(単)国産豚ヒレ120g,1030,1112,024,akagi,赤城・国産
国産豚ヒレ150g,1780,1922,025,akagi,赤城・国産
(単)国産豚ヒレ150g,1380,1490,026,akagi,赤城・国産
国産豚厚切ヒレ,2250,2430,027,akagi,赤城・国産
(単)国産豚厚切ヒレ,1850,1998,028,akagi,赤城・国産
やまと豚おすすめ,1580,1706,029,yamato,やまと豚
(単)やまと豚おすすめ,1180,1274,030,yamato,やまと豚
ヒレ＆海老フライ,1780,1922,031,ebi,海老系
(単)ヒレ＆海老フライ,1380,1490,032,ebi,海老系
ロース＆海老フライ,1890,2041,033,ebi,海老系
(単)ロース＆海老フライ,1490,1609,034,ebi,海老系
天然大海老　1本,1880,2030,035,ebi,海老系
(単)天然大海老　1本,1480,1598,036,ebi,海老系
天然大海老　2本,3150,3402,037,ebi,海老系
(単)天然大海老　2本,2750,2970,038,ebi,海老系
ねぎおろしかつ,1530,1652,039,irodori,彩り
(単)ねぎおろしかつ,1130,1220,040,irodori,彩り
海老かつ,1530,1652,041,ebi,海老系
(単)海老かつ,1130,1220,042,ebi,海老系
ボリューム控えめ,1350,1458,043,irodori,彩り
(単)ボリューム控えめ,950,1026,044,irodori,彩り
2色巻き,1480,1598,045,irodori,彩り
(単)2色巻き,1080,1166,046,irodori,彩り
チーズ巻き,1480,1598,047,irodori,彩り
(単)チーズ巻き,1080,1166,048,irodori,彩り
梅しそ巻き,1480,1598,049,irodori,彩り
(単)梅しそ巻き,1080,1166,050,irodori,彩り
ロースチーズ,1520,1641,051,irodori,彩り
(単)ロースチーズ,1120,1209,052,irodori,彩り
メンチかつ,1280,1382,053,irodori,彩り
(単)メンチかつ,880,950,054,irodori,彩り
味噌ロース,1480,1598,055,irodori,彩り
(単)味噌ロース,1080,1166,056,irodori,彩り
カキフライ,1680,1814,057,season,季節
(単)カキフライ,1280,1382,058,season,季節
ロース＆カキフライ,1880,2030,059,season,季節
(単)ロース＆カキフライ,1480,1598,060,season,季節
ヒレ＆カキフライ,1630,1760,061,season,季節
(単)ヒレ＆カキフライ,1230,1328,062,season,季節
海老＆カキフライ,1730,1868,063,season,季節
(単)海老＆カキフライ,1330,1436,064,season,季節
メンチ＆カキフライ,1580,1706,065,season,季節
(単)メンチ＆カキフライ,1180,1274,066,season,季節
単品カキ1個,230,248,067,season,季節
単品カキ3個,650,702,068,season,季節